country,year,infantMort,fert,continent,lifeExp,pop,gdpPercap
Afghanistan,1952.0,NA,7.67,Asia,28.801,8425333,779.4453145
Afghanistan,1957.0,NA,7.67,Asia,30.332,9240934,820.8530296
Afghanistan,1962.0,236.3,7.67,Asia,31.997,10267083,853.10071
Afghanistan,1967.0,217.0,7.67,Asia,34.02,11537966,836.1971382
Afghanistan,1972.0,198.2,7.67,Asia,36.088,13079460,739.9811058
Afghanistan,1977.0,178.7,7.67,Asia,38.438,14880372,786.11336
Afghanistan,1982.0,157.5,7.67,Asia,39.854,12881816,978.0114388
Afghanistan,1987.0,135.7,7.68,Asia,40.822,13867957,852.3959448
Afghanistan,1992.0,114.4,7.73,Asia,41.674,16317921,649.3413952
Afghanistan,1997.0,100.7,7.87,Asia,41.763,22227415,635.341351
Afghanistan,2002.0,91.2,7.48,Asia,42.129,25268405,726.7340548
Afghanistan,2007.0,80.4,6.46,Asia,43.828,31889923,974.5803384
Albania,1952.0,NA,6.07,Europe,55.23,1282697,1601.056136
Albania,1957.0,NA,6.39,Europe,59.28,1476505,1942.284244
Albania,1962.0,106.5,5.96,Europe,64.82,1728137,2312.888958
Albania,1967.0,86.8,5.38,Europe,66.22,1984060,2760.196931
Albania,1972.0,71.0,4.81,Europe,67.69,2263554,3313.422188
Albania,1977.0,58.6,4.09,Europe,68.93,2509048,3533.00391
Albania,1982.0,56.1,3.46,Europe,70.42,2780097,3630.880722
Albania,1987.0,40.8,3.13,Europe,72.0,3075321,3738.932735
Albania,1992.0,32.5,2.87,Europe,71.581,3326498,2497.437901
Albania,1997.0,26.8,2.61,Europe,72.95,3428038,3193.054604
Albania,2002.0,21.0,2.2,Europe,75.651,3508512,4604.211737
Albania,2007.0,16.7,1.8,Europe,76.423,3600523,5937.029526
Algeria,1952.0,NA,7.65,Africa,43.077,9279525,2449.008185
Algeria,1957.0,149.0,7.65,Africa,45.685,10270856,3013.976023
Algeria,1962.0,148.2,7.65,Africa,48.303,11000948,2550.81688
Algeria,1967.0,149.2,7.66,Africa,51.407,12760499,3246.991771
Algeria,1972.0,140.6,7.59,Africa,54.518,14760787,4182.663766
Algeria,1977.0,119.0,7.24,Africa,58.014,17152804,4910.416756
Algeria,1982.0,84.6,6.58,Africa,61.368,20033753,5745.160213
Algeria,1987.0,46.3,5.51,Africa,65.799,23254956,5681.358539
Algeria,1992.0,38.1,4.24,Africa,67.744,26298373,5023.216647
Algeria,1997.0,35.1,2.99,Africa,69.152,29072015,4797.295051
Algeria,2002.0,32.4,2.41,Africa,70.994,31287142,5288.040382
Algeria,2007.0,26.4,2.66,Africa,72.301,33333216,6223.367465
Angola,1952.0,NA,6.98,Africa,30.015,4232095,3520.610273
Angola,1957.0,NA,7.19,Africa,31.999,4561361,3827.940465
Angola,1962.0,NA,7.39,Africa,34.0,4826015,4269.276742
Angola,1967.0,NA,7.4,Africa,35.985,5247469,5522.776375
Angola,1972.0,NA,7.23,Africa,37.928,5894858,5473.288005
Angola,1977.0,NA,7.19,Africa,39.483,6162675,3008.647355
Angola,1982.0,136.8,7.2,Africa,39.942,7016384,2756.953672
Angola,1987.0,134.1,7.2,Africa,39.906,7874230,2430.208311
Angola,1992.0,133.5,7.12,Africa,40.647,8735988,2627.845685
Angola,1997.0,131.5,6.95,Africa,40.963,9875024,2277.140884
Angola,2002.0,125.5,6.78,Africa,41.003,10866106,2773.287312
Angola,2007.0,117.1,6.52,Africa,42.731,12420476,4797.231267
Argentina,1952.0,65.0,3.16,Americas,62.485,17876956,5911.315053
Argentina,1957.0,68.0,3.13,Americas,64.399,19610538,6856.856212
Argentina,1962.0,59.59,3.09,Americas,65.142,21283783,7133.166023
Argentina,1967.0,58.73,3.05,Americas,65.634,22934225,8052.953021
Argentina,1972.0,58.0,3.15,Americas,67.065,24779799,9443.038526
Argentina,1977.0,47.2,3.39,Americas,68.481,26983828,10079.02674
Argentina,1982.0,32.8,3.21,Americas,69.942,29341374,8997.897412
Argentina,1987.0,27.1,3.06,Americas,70.774,31620918,9139.671389
Argentina,1992.0,22.8,2.92,Americas,71.868,33958947,9308.41871
Argentina,1997.0,19.6,2.66,Americas,73.275,36203463,10967.28195
Argentina,2002.0,17.1,2.38,Americas,74.34,38331121,8797.640716
Argentina,2007.0,14.1,2.25,Americas,75.32,40301927,12779.37964
Australia,1952.0,24.1,3.18,Oceania,69.12,8691212,10039.59564
Australia,1957.0,21.6,3.42,Oceania,70.33,9712569,10949.64959
Australia,1962.0,19.5,3.43,Oceania,70.93,10794968,12217.22686
Australia,1967.0,18.3,2.85,Oceania,71.1,11872264,14526.12465
Australia,1972.0,16.8,2.74,Oceania,71.93,13177000,16788.62948
Australia,1977.0,12.7,2.01,Oceania,73.49,14074100,18334.19751
Australia,1982.0,10.1,1.93,Oceania,74.74,15184200,19477.00928
Australia,1987.0,8.7,1.85,Oceania,76.32,16257249,21888.88903
Australia,1992.0,6.7,1.89,Oceania,77.56,17481977,23424.76683
Australia,1997.0,5.4,1.78,Oceania,78.83,18565243,26997.93657
Australia,2002.0,5.0,1.76,Oceania,80.37,19546792,30687.75473
Australia,2007.0,4.5,1.92,Oceania,81.235,20434176,34435.36744
Austria,1952.0,52.0,2.06,Europe,66.8,6927772,6137.076492
Austria,1957.0,43.6,2.57,Europe,67.48,6965860,8842.59803
Austria,1962.0,32.9,2.8,Europe,69.54,7129864,10750.72111
Austria,1967.0,26.4,2.62,Europe,70.14,7376998,12834.6024
Austria,1972.0,24.1,2.09,Europe,70.63,7544201,16661.6256
Austria,1977.0,16.6,1.63,Europe,72.17,7568430,19749.4223
Austria,1982.0,12.6,1.66,Europe,73.18,7574613,21597.08362
Austria,1987.0,9.4,1.43,Europe,74.94,7578903,23687.82607
Austria,1992.0,7.1,1.51,Europe,76.04,7914969,27042.01868
Austria,1997.0,5.0,1.39,Europe,77.51,8069876,29095.92066
Austria,2002.0,4.4,1.39,Europe,78.98,8148312,32417.60769
Austria,2007.0,3.8,1.38,Europe,79.829,8199783,36126.4927
Bahrain,1952.0,NA,6.97,Asia,50.939,120447,9867.084765
Bahrain,1957.0,172.5,6.97,Asia,53.832,138655,11635.79945
Bahrain,1962.0,114.1,7.17,Asia,56.923,171863,12753.27514
Bahrain,1967.0,74.5,7.0,Asia,59.923,202182,14804.6727
Bahrain,1972.0,48.1,6.09,Asia,63.3,230800,18268.65839
Bahrain,1977.0,32.6,5.28,Asia,65.593,297410,19340.10196
Bahrain,1982.0,24.0,4.69,Asia,69.052,377967,19211.14731
Bahrain,1987.0,20.1,4.13,Asia,70.75,454612,18524.02406
Bahrain,1992.0,18.7,3.47,Asia,72.601,529491,19035.57917
Bahrain,1997.0,13.1,2.93,Asia,73.925,598561,20292.01679
Bahrain,2002.0,10.2,2.67,Asia,74.795,656397,23403.55927
Bahrain,2007.0,8.5,2.29,Asia,75.635,708573,29796.04834
Bangladesh,1952.0,225.4,6.33,Asia,37.484,46886859,684.2441716
Bangladesh,1957.0,191.8,6.6,Asia,39.348,51365468,661.6374577
Bangladesh,1962.0,167.6,6.79,Asia,41.216,56839289,686.3415538
Bangladesh,1967.0,153.0,6.92,Asia,43.453,62821884,721.1860862
Bangladesh,1972.0,148.2,6.93,Asia,45.252,70759295,630.2336265
Bangladesh,1977.0,141.4,6.68,Asia,46.923,80428306,659.8772322
Bangladesh,1982.0,127.8,6.06,Asia,50.009,93074406,676.9818656
Bangladesh,1987.0,110.8,5.13,Asia,52.819,103764241,751.9794035
Bangladesh,1992.0,92.1,4.2,Asia,56.018,113704579,837.8101643
Bangladesh,1997.0,74.0,3.47,Asia,59.412,123315288,972.7700352
Bangladesh,2002.0,58.6,2.91,Asia,62.013,135656790,1136.39043
Bangladesh,2007.0,45.9,2.44,Asia,64.062,150448339,1391.253792
Belgium,1952.0,45.0,2.33,Europe,68.0,8730405,8343.105127
Belgium,1957.0,35.0,2.49,Europe,69.24,8989111,9714.960623
Belgium,1962.0,27.0,2.63,Europe,70.25,9218400,10991.20676
Belgium,1967.0,22.5,2.43,Europe,70.94,9556500,13149.04119
Belgium,1972.0,18.7,2.05,Europe,71.44,9709100,16672.14356
Belgium,1977.0,14.1,1.73,Europe,72.8,9821800,19117.97448
Belgium,1982.0,11.2,1.59,Europe,73.93,9856303,20979.84589
Belgium,1987.0,9.2,1.56,Europe,75.35,9870200,22525.56308
Belgium,1992.0,7.6,1.6,Europe,76.46,10045622,25575.57069
Belgium,1997.0,5.5,1.61,Europe,77.53,10199787,27561.19663
Belgium,2002.0,4.4,1.68,Europe,78.32,10311970,30485.88375
Belgium,2007.0,3.9,1.8,Europe,79.441,10392226,33692.60508
Benin,1952.0,204.7,5.83,Africa,38.223,1738315,1062.7522
Benin,1957.0,194.6,6.11,Africa,40.358,1925173,959.6010805
Benin,1962.0,180.6,6.39,Africa,42.618,2151895,949.4990641
Benin,1967.0,164.0,6.63,Africa,44.885,2427334,1035.831411
Benin,1972.0,152.5,6.82,Africa,47.014,2761407,1085.796879
Benin,1977.0,136.7,6.98,Africa,49.19,3168267,1029.161251
Benin,1982.0,124.7,7.02,Africa,50.904,3641603,1277.897616
Benin,1987.0,114.8,6.9,Africa,52.337,4243788,1225.85601
Benin,1992.0,103.2,6.6,Africa,53.919,4981671,1191.207681
Benin,1997.0,94.2,6.21,Africa,54.777,6066080,1232.975292
Benin,2002.0,85.2,5.82,Africa,54.406,7026113,1372.877931
Benin,2007.0,75.2,5.37,Africa,56.728,8078314,1441.284873
Bolivia,1952.0,NA,6.75,Americas,40.414,2883315,2677.326347
Bolivia,1957.0,NA,6.75,Americas,41.89,3211738,2127.686326
Bolivia,1962.0,167.7,6.65,Americas,43.428,3593918,2180.972546
Bolivia,1967.0,153.6,6.59,Americas,45.032,4040665,2586.886053
Bolivia,1972.0,138.0,6.5,Americas,46.714,4565872,2980.331339
Bolivia,1977.0,121.3,5.9,Americas,50.023,5079716,3548.097832
Bolivia,1982.0,107.2,5.34,Americas,53.859,5642224,3156.510452
Bolivia,1987.0,94.0,5.03,Americas,57.251,6156369,2753.69149
Bolivia,1992.0,80.2,4.81,Americas,59.957,6893451,2961.699694
Bolivia,1997.0,66.8,4.39,Americas,62.05,7693188,3326.143191
Bolivia,2002.0,53.7,3.98,Americas,63.883,8445134,3413.26269
Bolivia,2007.0,42.2,3.55,Americas,65.554,9119152,3822.137084
Bosnia and Herzegovina,1952.0,NA,4.88,Europe,53.82,2791000,973.5331948
Bosnia and Herzegovina,1957.0,NA,4.34,Europe,58.45,3076000,1353.989176
Bosnia and Herzegovina,1962.0,NA,3.85,Europe,61.93,3349000,1709.683679
Bosnia and Herzegovina,1967.0,NA,3.24,Europe,64.79,3585000,2172.352423
Bosnia and Herzegovina,1972.0,NA,2.68,Europe,67.45,3819000,2860.16975
Bosnia and Herzegovina,1977.0,NA,2.27,Europe,69.86,4086000,3528.481305
Bosnia and Herzegovina,1982.0,27.2,2.02,Europe,70.69,4172693,4126.613157
Bosnia and Herzegovina,1987.0,20.4,1.89,Europe,71.14,4338977,4314.114757
Bosnia and Herzegovina,1992.0,14.7,1.59,Europe,72.178,4256013,2546.781445
Bosnia and Herzegovina,1997.0,10.1,1.5,Europe,73.244,3607000,4766.355904
